,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode
59,KATIE,F,03/01/2007,irish_wolfhound,Brooklyn,11215.0
60,SEBASTIAN,M,08/01/2013,german_short-haired_pointer,Queens,11368.0
61,ROSCOE,M,04/01/2008,norfolk_terrier,Bronx,10464.0
62,BELLA,F,11/01/2012,japanese_spaniel,Brooklyn,11209.0
63,RUBY ,F,04/01/2004,bloodhound,Queens,11429.0
64,FINIAN,M,05/01/2009,shetland_sheepdog,Manhattan,10011.0
65,ROCCO,M,12/01/2013,toy_poodle,Queens,11372.0
66,UNKNOWN,F,12/01/2015,norwegian_elkhound,Manhattan,10031.0
67,DINO,M,11/01/2010,doberman,Bronx,10462.0
68,MARKO,M,05/01/2009,sussex_spaniel,Bronx,10465.0
69,JUICY,F,11/01/2013,miniature_poodle,Brooklyn,11235.0
70,GIZMO ,M,01/01/2000,welsh_springer_spaniel,Queens,11103.0
71,SHIBBY,F,02/01/2006,great_pyrenees,Brooklyn,11215.0
72,ROSIE,F,02/01/2010,samoyed,Brooklyn,11235.0
73,STELLA,F,09/01/2010,labrador_retriever,Manhattan,10025.0
74,LUNA,F,11/01/2005,norwegian_elkhound,Brooklyn,11209.0
75,PRINCE ,M,04/01/2008,miniature_poodle,Queens,11416.0
76,SQUIRT,M,02/01/2009,airedale,Brooklyn,11231.0
77,ROCKY,M,09/01/2007,standard_poodle,Queens,11106.0
78,SATCH,F,09/01/2008,silky_terrier,Staten Island,10305.0
79,COOKIE,F,11/01/2008,pomeranian,Manhattan,10035.0
80,LEGION,F,01/01/2004,siberian_husky,Manhattan,10021.0
81,JUNO,F,05/01/2010,rhodesian_ridgeback,Queens,11428.0
82,GIGI,F,12/01/2011,dingo,Bronx,10474.0
83,MARK,M,01/01/2012,mexican_hairless,Bronx,10462.0
84,BELLA ,F,09/01/2014,ibizan_hound,Brooklyn,11233.0
85,CUJO,M,01/01/2003,kerry_blue_terrier,Bronx,10471.0
86,MARCELLO,M,07/01/2013,chesapeake_bay_retriever,BROOKLYN,11214.0
87,HOGAN,M,06/01/2011,whippet,Queens,11364.0
88,MIO ,M,01/01/2015,greater_swiss_mountain_dog,Bronx,10467.0
89,MONDAY ,M,04/01/2010,lhasa,Brooklyn,11237.0
90,JAX,M,01/01/2006,flat-coated_retriever,Queens,11413.0
91,BELLA,F,02/01/2008,scotch_terrier,Brooklyn,11204.0
92,UNKNOWN,F,01/01/2016,beagle,Brooklyn,11225.0
93,BELLA,F,12/01/2011,basenji,Manhattan,10007.0
94,SPARKY,M,01/01/2014,mexican_hairless,Manhattan,10009.0
95,MAX,M,04/01/2010,ibizan_hound,Queens,11385.0
96,ROLEX,M,07/01/2008,beagle,Staten Island,10303.0
97,SIMON,M,04/01/2015,entlebucher,Queens,11109.0
98,LULA,F,09/01/2010,afghan_hound,Brooklyn,11221.0
99,ONYX ,M,04/01/2015,maltese_dog,Bronx,10454.0
100,POLIZZI,M,05/01/2016,blenheim_spaniel,Queens,11414.0
101,ZOE,F,01/01/2005,bedlington_terrier,Queens,11375.0
102,BRANDY,M,02/01/2009,greater_swiss_mountain_dog,Manhattan,10016.0
103,PRISCILLA ,F,01/01/2001,labrador_retriever,Queens,11428.0
104,JERRY,M,05/01/2016,great_pyrenees,Brooklyn,11236.0
105,TUFFY,M,07/01/2009,schipperke,Bronx,10460.0
106,SANDY ,F,04/01/2016,rhodesian_ridgeback,Bronx,10455.0
107,RUPERT,M,03/01/2015,japanese_spaniel,Queens,11414.0
108,HALEY ,F,01/01/2005,border_collie,Queens,11363.0
109,SADIE ,F,05/01/2013,bull_mastiff,Manhattan,10025.0
110,LUNA ,F,12/01/2002,otterhound,Manhattan,10024.0
111,AUGIE,M,06/01/2011,miniature_poodle,Queens,11421.0
112,UGO,M,01/01/2009,boxer,Bronx,10469.0
113,VEGAS,M,01/01/2009,tibetan_terrier,Queens,11357.0
114,KISS,F,07/01/2012,german_short-haired_pointer,Manhattan,10032.0
115,BIAH ,F,01/01/2004,bloodhound,Queens,11377.0
116,HANK,M,02/01/2005,norwegian_elkhound,Brooklyn,11215.0
117,ROXY,F,12/01/2010,great_dane,Bronx,10463.0
118,BLACKIE ,M,01/01/2006,basset,Bronx,10465.0
119,YOFFI,F,01/01/2007,leonberg,Manhattan,10023.0
120,R.A.,F,05/01/2012,maltese_dog,Queens,11417.0
121,LETTY ,F,06/01/2014,bedlington_terrier,Queens,11421.0
122,FRANKLIN,M,10/01/2011,basset,Manhattan,10025.0
123,ROXY,F,10/01/2013,entlebucher,Brooklyn,11217.0
124,PHEEBS,F,12/01/2013,norfolk_terrier,Queens,11101.0
125,NOT ,M,07/01/2016,silky_terrier,Queens,11374.0
126,GINGER,F,08/01/2009,cairn,Bronx,10463.0
127,UNKNOWN,M,08/01/2016,affenpinscher,Manhattan,10033.0
128,MAXI,F,01/01/2007,soft-coated_wheaten_terrier,Bronx,10473.0
129,HARLEY,M,07/01/2011,redbone,Brooklyn,11210.0
130,QUEEN,F,04/01/2013,schipperke,Manhattan,10013.0
131,CHEWBACCA,F,06/01/2012,toy_terrier,Manhattan,10013.0
132,IAN ,M,01/01/2006,norwegian_elkhound,Manhattan,10013.0
133,PAIGE ,F,07/01/2014,blenheim_spaniel,Manhattan,10035.0
134,BUDDY,M,04/01/2008,shih-tzu,Manhattan,10025.0
135,ALI,M,01/01/2014,rhodesian_ridgeback,Manhattan,10013.0
136,LOLA,F,06/01/2009,border_terrier,Manhattan,10028.0
137,YOGI,M,09/01/2010,tibetan_mastiff,Bronx,10465.0
138,MURPHY,M,01/01/2012,norwegian_elkhound,Bronx,10463.0
139,MUNECA,F,05/01/2013,german_short-haired_pointer,Brooklyn,11232.0
140,AVERY,F,06/01/2014,labrador_retriever,Manhattan,10002.0
141,BUDDY,M,10/01/2012,kerry_blue_terrier,Staten Island,10312.0
142,LEMMY,F,07/01/2005,kerry_blue_terrier,Manhattan,10003.0
143,LOLA,F,08/01/2006,wire-haired_fox_terrier,Manhattan,10022.0
144,LOGAN ,M,01/01/2003,french_bulldog,Manhattan,10011.0
145,APPLE ,M,07/01/2013,golden_retriever,Manhattan,10025.0
146,OTIS ,F,01/01/2001,american_staffordshire_terrier,Manhattan,10011.0
147,OSCAR,M,12/01/2008,whippet,Manhattan,10025.0
148,SOPHIE,F,09/01/2011,komondor,Staten Island,10308.0
149,JUNE ,F,04/01/2010,toy_terrier,Brooklyn,11238.0
150,SARAH,F,12/01/2012,boston_bull,Manhattan,10025.0
151,ELIZABETH,F,03/01/2013,bedlington_terrier,Manhattan,10022.0
152,LUCY ,F,03/01/2014,toy_terrier,Brooklyn,11215.0
153,DOTTIE,F,04/01/2013,basset,Manhattan,10025.0
154,RICKY,M,07/01/2014,redbone,Brooklyn,11220.0
155,BIGS,M,12/01/2004,airedale,Brooklyn,11208.0
156,BESS ,F,09/01/2010,welsh_springer_spaniel,Brooklyn,11218.0
157,BENSON,M,07/01/2010,irish_wolfhound,Brooklyn,11209.0
158,MASSIMO,M,07/01/2009,appenzeller,Brooklyn,11201.0
159,HEIDI-BO,F,09/01/2007,sussex_spaniel,Brooklyn,11215.0
160,MAX,M,10/01/2005,wire-haired_fox_terrier,Manhattan,10023.0
161,RANGER,M,08/01/2007,shetland_sheepdog,Brooklyn,11229.0
162,ELAINE,F,04/01/2005,rhodesian_ridgeback,Bronx,10471.0
163,TIBERIUS,M,08/01/2006,shih-tzu,Manhattan,10021.0
164,SANDEE,F,06/01/2009,italian_greyhound,Queens,11361.0
165,SAMMY,M,04/01/2007,shih-tzu,Brooklyn,11231.0
166,JASMINE,F,01/01/2008,silky_terrier,Brooklyn,11209.0
167,JOEY,F,03/01/2010,pembroke,Manhattan,10023.0
168,SHERRIE,M,06/01/2008,entlebucher,Brooklyn,11224.0
169,NINA,F,11/01/2010,groenendael,Bronx,10461.0
170,LILAH,F,02/01/2008,dandie_dinmont,Brooklyn,11209.0
171,DEDE,M,02/01/2013,newfoundland,Brooklyn,11236.0
172,COOBY,M,06/01/2013,pomeranian,Manhattan,10002.0
173,ROSIE,F,03/01/2010,greater_swiss_mountain_dog,Manhattan,10028.0
174,NAHLA,F,05/01/2011,rottweiler,Manhattan,10023.0
175,ROCKY ,M,09/01/2012,bloodhound,Bronx,10451.0
176,BAILEY ,M,01/01/2005,toy_poodle,Manhattan,10021.0
177,BUCKLEY,F,01/01/2006,mexican_hairless,Manhattan,10022.0
178,DEXTER,M,11/01/2010,saluki,Brooklyn,11201.0
179,ZOEY,F,04/01/2011,wire-haired_fox_terrier,Brooklyn,11215.0
180,ANGEL,M,11/01/2000,yorkshire_terrier,Bronx,10467.0
181,LOUIE,M,05/01/2008,toy_terrier,Manhattan,10024.0
182,PEPI ,M,01/01/2004,chow,Bronx,10467.0
183,PAOLA,F,06/01/2013,border_terrier,Manhattan,10038.0
184,JUNO,F,10/01/2010,brabancon_griffon,Bronx,10473.0
185,JOSH,F,01/01/2010,malinois,Queens,11379.0
186,COCO ,F,08/01/2009,yorkshire_terrier,Staten Island,10309.0
187,CHLOE,F,11/01/2005,groenendael,Manhattan,10029.0
188,CHEWY,M,12/01/2012,maltese_dog,Brooklyn,11224.0
189,MIA ,F,03/01/2013,afghan_hound,Queens,11415.0
190,PIRULO,M,01/01/2008,schipperke,Manhattan,10038.0
191,LUNA,F,12/01/2009,norfolk_terrier,Brooklyn,11215.0
192,BAXTER,M,08/01/2013,great_dane,Queens,11374.0
193,DUKE,M,11/01/2012,lakeland_terrier,Manhattan,10012.0
194,TWIGGY ,F,01/01/2004,weimaraner,Manhattan,10029.0
195,TRUMAN ,M,01/01/2007,boston_bull,Queens,11104.0
196,ROCCO,M,05/01/2010,weimaraner,Manhattan,10012.0
197,MAX,M,01/01/2008,keeshond,Manhattan,10029.0
198,BLUE,M,04/01/2008,west_highland_white_terrier,Manhattan,10034.0
199,TOSHA,F,12/01/2011,komondor,Manhattan,10024.0
200,TY ,M,09/01/2010,german_shepherd,Brooklyn,11236.0
201,BELLA,F,01/01/2005,rhodesian_ridgeback,Manhattan,10031.0
202,LUCY,F,04/01/2011,malinois,Manhattan,10011.0
203,TEDDY,M,01/01/2008,border_terrier,Manhattan,10065.0
204,TIGGER,M,06/01/2012,chesapeake_bay_retriever,Manhattan,10280.0
205,CHARLIE,M,05/01/2007,newfoundland,Queens,11435.0
206,SANDY,F,07/01/2011,maltese_dog,Manhattan,10011.0
207,SABRINA,F,12/01/2002,dhole,Queens,11106.0
208,JUPLAY,M,02/01/2002,norwegian_elkhound,Queens,11106.0
209,A.J. ,M,01/01/2005,greater_swiss_mountain_dog,Staten Island,10308.0
210,GEORGE,M,04/01/2013,chihuahua,Manhattan,10011.0
211,OLIVER,M,06/01/2008,italian_greyhound,Manhattan,10025.0
212,ZOEY,F,04/01/2010,bouvier_des_flandres,Manhattan,10016.0
213,BRODY,M,01/01/2006,chesapeake_bay_retriever,Manhattan,10035.0
214,DAKOTA,F,07/01/2011,newfoundland,Manhattan,10016.0
215,COOPER ,M,04/01/2011,otterhound,Staten Island,10309.0
216,ROCKY,M,07/01/2014,papillon,Staten Island,10312.0
217,NALA,F,04/01/2013,border_terrier,Manhattan,10023.0
218,KONA,M,06/01/2008,english_foxhound,Manhattan,10022.0
219,WALTER,M,09/01/2010,miniature_pinscher,Queens,11375.0
220,KIRBY ,M,10/01/2009,entlebucher,Queens,11106.0
221,KIMBERLY ,F,06/01/2011,irish_terrier,Brooklyn,11230.0
222,COSMO,M,04/01/2009,irish_setter,Manhattan,10003.0
223,BOO,F,07/01/2013,basenji,Brooklyn,11211.0
224,NOVA,F,05/01/2010,black-and-tan_coonhound,Bronx,10457.0
225,ZOE,F,06/01/2014,doberman,Queens,11101.0
226,ZOE ,F,09/01/2009,afghan_hound,Bronx,10475.0
227,SPUDS ,M,09/01/2010,pekinese,Bronx,10461.0
228,ACE ,M,01/01/2005,english_setter,Manhattan,10001.0
229,SAMMY ,M,01/01/2006,scotch_terrier,Manhattan,10011.0
230,CHARLIE ,M,02/01/2008,borzoi,Manhattan,10128.0
231,BELLA,F,07/01/2012,schipperke,Manhattan,10013.0
232,MAX ,M,02/01/2005,norfolk_terrier,Manhattan,10025.0
233,MARTY,M,04/01/2009,black-and-tan_coonhound,Manhattan,10036.0
234,POPPETT,F,02/01/2011,blenheim_spaniel,Manhattan,10024.0
235,MOLLIE,F,12/01/2012,leonberg,Brooklyn,11228.0
236,SEBASTIAN,M,01/01/2004,shih-tzu,Manhattan,10128.0
237,MONEYPENNY,F,05/01/2014,dandie_dinmont,Brooklyn,11215.0
238,JACK ,M,07/01/2010,shih-tzu,Queens,11365.0
239,RUSTY,M,01/01/2005,shih-tzu,Brooklyn,11218.0
240,MIDORI,F,05/01/2008,kelpie,Manhattan,10019.0
241,APOLLO ,M,04/01/2011,siberian_husky,Bronx,10463.0
242,PHILLIP ,M,04/01/2011,keeshond,Bronx,10463.0
243,SPARKY,M,10/01/2010,bull_mastiff,Bronx,10458.0
244,SMOKEY,M,11/01/2013,otterhound,Manhattan,10036.0
245,SNOOPY,M,06/01/2012,norwegian_elkhound,Bronx,10454.0
246,GRAISY,F,05/01/2009,brittany_spaniel,Bronx,10462.0
247,GIGI,F,11/01/2009,wire-haired_fox_terrier,Brooklyn,11201.0
248,BUTTERFLY ,F,05/01/2012,weimaraner,Manhattan,10023.0
249,CAMPBELL,M,05/01/2014,norfolk_terrier,Manhattan,10128.0
250,CURTIS ,M,10/01/2010,bedlington_terrier,Brooklyn,11215.0
251,KATE ,F,04/01/2011,weimaraner,Bronx,10463.0
252,WILLIAM ,M,04/01/2011,cardigan,Bronx,10463.0
253,PENNY,F,11/01/2013,irish_water_spaniel,Brooklyn,11217.0
254,ANDY,M,06/01/2010,ibizan_hound,Queens,11373.0
255,LISSY,F,06/01/2010,pug,Queens,11373.0
256,MAX,M,05/01/2010,english_setter,Brooklyn,11218.0
257,COCO ,F,07/01/2014,norfolk_terrier,Brooklyn,11214.0
258,TESLA,F,02/01/2013,gordon_setter,Brooklyn,11221.0
259,GUNTHER,M,05/01/2010,beagle,Manhattan,10021.0
260,BELLE,F,10/01/2006,entlebucher,Brooklyn,11218.0
261,COCO ,F,07/01/2002,west_highland_white_terrier,Manhattan,10027.0
262,JETT,M,11/01/2009,leonberg,Brooklyn,11237.0
263,JOCKI,F,12/01/2008,bluetick,Bronx,10463.0
264,MINNIE,F,12/01/2007,greater_swiss_mountain_dog,Brooklyn,11217.0
265,SASHA,F,04/01/2014,komondor,Queens,11385.0
266,ROSIE ,F,09/01/2013,rottweiler,Manhattan,10013.0
267,AUGUSTA,F,03/01/2001,staffordshire_bullterrier,Brooklyn,11217.0
268,COOPER,M,05/01/2008,lakeland_terrier,Brooklyn,11201.0
269,ZOEY,F,03/01/2014,schipperke,Staten Island,10301.0
270,NINA,F,11/01/2005,schipperke,Manhattan,10023.0
271,BRUTUS,M,04/01/2013,cardigan,Queens,11102.0
272,ANDY,F,11/01/2013,briard,Brooklyn,11201.0
273,PATCH,M,11/01/2004,malinois,Manhattan,10017.0
274,SOLO,M,01/01/2008,american_staffordshire_terrier,Brooklyn,11234.0
275,BRANDO,M,08/01/2012,lakeland_terrier,Queens,11355.0
276,WOODY,M,01/01/2010,maltese_dog,Brooklyn,11205.0
277,ZOE ,F,01/01/2004,pembroke,Brooklyn,11231.0
278,ROXY,M,08/01/2004,airedale,Manhattan,10019.0
279,CHAUNCEY ,M,08/01/2006,malamute,Bronx,10463.0
280,CHANCE,M,06/01/2008,papillon,Brooklyn,11234.0
281,MICA ,F,01/01/2005,scottish_deerhound,Brooklyn,11222.0
282,JELLY,F,05/01/2014,blenheim_spaniel,Queens,11364.0
283,RIGGINS,F,08/01/2011,cocker_spaniel,Manhattan,10023.0
284,TYLER ,M,01/01/2008,english_foxhound,Brooklyn,11206.0
285,MAGGIE ,F,07/01/2013,newfoundland,Manhattan,10023.0
286,HANNAH,F,02/01/2014,lakeland_terrier,Manhattan,10019.0
287,MIA ,F,10/01/2011,staffordshire_bullterrier,Brooklyn,11222.0
288,CHASE ,M,01/01/2007,affenpinscher,Brooklyn,11228.0
289,LEXY,F,06/01/2007,beagle,Staten Island,10314.0
290,DAKOTA,F,03/01/2014,borzoi,Manhattan,10003.0
291,DAISY,F,06/01/2014,dingo,Manhattan,10038.0
292,STELLA,F,10/01/2013,pekinese,Queens,11377.0
293,FIONA,F,11/01/2013,airedale,Manhattan,10128.0
294,APOLLO,M,04/01/2010,weimaraner,Bronx,10463.0
295,EVEYLYN ,F,12/01/2008,shih-tzu,Manhattan,10011.0
296,PARKER,M,04/01/2014,keeshond,Staten Island,10309.0
297,STORM,F,07/01/2012,eskimo_dog,Brooklyn,11209.0
298,NENA,F,01/01/2007,entlebucher,Bronx,10473.0
299,LEOPOLD,M,08/01/2008,briard,Manhattan,10023.0
300,PIPER,F,01/01/2014,cardigan,Manhattan,10012.0
301,RASCAL,M,08/01/2010,basenji,Staten Island,10310.0
302,JADE,F,09/01/2009,saint_bernard,Bronx,10466.0
303,IVORY,F,01/01/2004,weimaraner,Bronx,10461.0
304,CHUNK,M,05/01/2011,sussex_spaniel,Manhattan,10011.0
305,JULIUS ,M,03/01/2008,airedale,Brooklyn,11215.0
306,SHADOW,F,04/01/1999,afghan_hound,Staten Island,10306.0
307,RUMI ,M,04/01/2011,italian_greyhound,Manhattan,10021.0
308,HENDRIX,M,07/01/2014,boxer,Manhattan,10001.0
309,TED ,M,08/01/2011,bouvier_des_flandres,Brooklyn,11206.0
310,BEAR,M,12/01/2013,briard,Manhattan,10014.0
311,BAMBA,M,05/01/2011,eskimo_dog,Brooklyn,11201.0
312,ALI,M,05/01/2009,german_shepherd,Staten Island,10314.0
313,OREO ,F,09/01/2005,golden_retriever,Manhattan,10026.0
314,SPEEDY,M,01/01/2007,giant_schnauzer,Brooklyn,11234.0
315,GRAYSON ,M,12/01/2012,great_pyrenees,Brooklyn,11221.0
316,ABBEY,F,08/01/2013,bloodhound,Queens,11694.0
317,ANGEL ,F,01/01/2003,sealyham_terrier,Bronx,10469.0
318,LOLA,F,03/01/2014,keeshond,Manhattan,10040.0
319,LAWRENCE,M,07/01/2010,tibetan_terrier,Manhattan,10025.0
320,DEMO,M,02/01/2009,blenheim_spaniel,Queens,11365.0
321,ZIGGY ,M,01/01/2007,border_collie,Bronx,10463.0
322,WEEZY,M,07/01/2006,schipperke,Manhattan,10040.0
323,EMMA ,F,09/01/2013,maltese_dog,Queens,11694.0
324,PRINCESS ,F,03/01/2008,norfolk_terrier,Queens,11102.0
325,BO,M,06/01/2011,irish_wolfhound,Queens,11372.0
326,MASON,M,01/01/2014,greater_swiss_mountain_dog,Manhattan,10032.0
327,CHOCOLATE,F,01/01/2007,miniature_pinscher,Brooklyn,11208.0
328,SCOOBIE ,M,01/01/2005,chihuahua,Brooklyn,11221.0
329,COCO,F,05/01/2008,malinois,Brooklyn,11221.0
330,CHRISTMAS,F,11/01/2008,samoyed,Manhattan,10016.0
331,CHASE,M,08/01/2011,yorkshire_terrier,Queens,11414.0
332,BIANCA,F,01/01/2006,kuvasz,Manhattan,10023.0
333,BONNIE,F,05/01/2009,bluetick,Queens,11358.0
334,HARLEY ,F,03/01/2014,great_pyrenees,Manhattan,10009.0
335,PORK ,F,09/01/2011,labrador_retriever,Manhattan,10019.0
336,LULU ,F,04/01/2010,afghan_hound,Brooklyn,11211.0
337,DINO ,M,11/01/2003,vizsla,Brooklyn,11221.0
338,GRIBETZ ,M,12/01/2009,scotch_terrier,Brooklyn,11201.0
339,AUGIE,M,09/01/2008,irish_wolfhound,Brooklyn,11238.0
340,DAISY ,F,01/01/2003,irish_setter,Brooklyn,11234.0
341,KINLEY,F,05/01/2012,scotch_terrier,Queens,11377.0
342,MURPHY,M,12/01/2010,norwegian_elkhound,Bronx,10463.0
343,ROCKO,M,02/01/2013,vizsla,Manhattan,10035.0
344,WENDELL,M,05/01/2011,whippet,Manhattan,10023.0
345,RANGER,M,06/01/2014,rhodesian_ridgeback,Queens,11414.0
346,MOJEAU ,M,02/01/2009,wire-haired_fox_terrier,Manhattan,10011.0
347,SHASHI,F,04/01/2009,pug,Manhattan,10021.0
348,TOBY,M,06/01/2012,bull_mastiff,Manhattan,10033.0
349,CODY ,M,11/01/2012,scotch_terrier,Manhattan,10002.0
350,BRIAN,M,10/01/2012,schipperke,Manhattan,10027.0
351,DEXTER ,M,01/01/2013,rottweiler,Manhattan,10032.0
352,ARCHIE,F,09/01/2011,basset,Manhattan,10027.0
353,AJA,F,08/01/2010,cairn,Bronx,10463.0
354,AJAXX,M,07/01/2014,german_short-haired_pointer,Brooklyn,11222.0
355,OLIVER,M,12/01/2012,malinois,Manhattan,10019.0
356,GINNY,F,09/01/2004,collie,Manhattan,10022.0
357,LOKI,F,07/01/2014,black-and-tan_coonhound,Brooklyn,11231.0
358,FINLEY,M,10/01/2013,flat-coated_retriever,Brooklyn,11215.0
359,COOPER,M,03/01/2014,basset,Brooklyn,11222.0
360,BARNEY,M,06/01/2004,boston_bull,Manhattan,10024.0
361,KYLA,F,04/01/2012,labrador_retriever,Brooklyn,11209.0
362,ROCKY ,M,09/01/2004,lakeland_terrier,Brooklyn,11222.0
363,WENDY,F,09/01/2011,miniature_pinscher,Manhattan,10022.0
364,CHARLIE,M,03/01/2010,pomeranian,Bronx,10456.0
365,Q,M,07/01/2008,rhodesian_ridgeback,Brooklyn,11222.0
366,BENNIE,M,02/01/2010,bedlington_terrier,Bronx,10471.0
367,BECK,M,08/01/2012,schipperke,Manhattan,10027.0
368,BELLA,F,05/01/2007,eskimo_dog,Queens,11429.0
369,DUKE,M,01/01/2012,norfolk_terrier,Staten Island,10306.0
370,SASHA,F,10/01/2012,australian_terrier,Manhattan,10014.0
371,COCO,F,09/01/2012,norfolk_terrier,Queens,11378.0
372,KODIE,M,01/01/2012,brabancon_griffon,Staten Island,10301.0
373,COPPER,M,03/01/2007,african_hunting_dog,Manhattan,10022.0
374,DASHWOOD,M,06/01/2014,italian_greyhound,Manhattan,10023.0
375,WYLIE,M,08/01/2010,tibetan_terrier,Manhattan,10014.0
376,OLIVER,M,03/01/2014,otterhound,Brooklyn,11238.0
377,SPIKE,M,08/01/2012,wire-haired_fox_terrier,Manhattan,10023.0
378,PEBBLE,F,08/01/2012,boxer,Brooklyn,11211.0
379,LOUIE,M,02/01/2008,flat-coated_retriever,Queens,11105.0
380,DAYO,M,12/01/2011,malamute,Staten Island,10306.0
381,DARCY ,F,04/01/2010,afghan_hound,Manhattan,10014.0
382,KUMBUKA,F,01/01/2010,redbone,Staten Island,10306.0
383,JAKE ,M,10/01/2013,briard,Manhattan,10026.0
384,MCHUMBA,M,08/01/2012,italian_greyhound,Staten Island,10306.0
385,HUNDLEY,M,10/01/2012,komondor,Queens,11105.0
386,TIKUIOE,M,07/01/2014,maltese_dog,Queens,11373.0
387,PRINCESS,F,01/01/2008,boxer,Queens,11694.0
388,MADDIE,F,05/01/2007,scotch_terrier,Bronx,10471.0
389,RAYE,F,09/01/2008,kelpie,Queens,11105.0
390,RICKY ,M,01/01/2003,norfolk_terrier,Manhattan,10011.0
391,UMA,F,01/01/2009,affenpinscher,Bronx,10456.0
392,LUCY ,F,10/01/2012,bloodhound,Brooklyn,11231.0
393,SIMBA,M,05/01/2012,scotch_terrier,Queens,11426.0
394,MAXIMUS,M,08/01/2010,border_collie,Brooklyn,11222.0
395,JAKE,M,05/01/2012,saint_bernard,Manhattan,10027.0
396,MIDNITE,M,03/01/2008,toy_poodle,Manhattan,10037.0
397,LEO ,M,06/01/2010,clumber,Brooklyn,11201.0
398,WINSTON ,M,11/01/2013,pembroke,Manhattan,10021.0
399,OONA ,F,01/01/2013,papillon,Manhattan,10021.0
